,buying,maint,doors,persons,lug_boot,safety,Decision
517,high,vhigh,5more,2,med,med,unacc
630,high,high,5more,4,small,low,unacc
637,high,high,5more,4,big,med,acc
265,vhigh,med,3,more,med,med,acc
524,high,vhigh,5more,4,small,high,unacc
694,high,med,3,more,small,med,unacc
1041,med,high,4,4,big,low,unacc
180,vhigh,high,4,more,small,low,unacc
1053,med,high,5more,2,small,low,unacc
1319,low,vhigh,2,more,med,high,acc
793,high,low,3,4,small,med,unacc
1687,low,low,4,4,med,med,good
440,high,vhigh,2,2,big,high,unacc
1499,low,high,5more,4,med,high,vgood
873,med,vhigh,2,4,small,low,unacc
752,high,med,5more,more,med,high,acc
422,vhigh,low,5more,4,big,high,acc
1321,low,vhigh,2,more,big,med,acc
409,vhigh,low,5more,2,med,med,unacc
469,high,vhigh,3,4,small,med,unacc
883,med,vhigh,2,more,small,med,unacc
919,med,vhigh,4,2,small,med,unacc
508,high,vhigh,4,more,med,med,unacc
786,high,low,3,2,med,low,unacc
756,high,low,2,2,small,low,unacc
685,high,med,3,4,small,med,unacc
1188,med,low,2,2,small,low,unacc
780,high,low,2,more,big,low,unacc
922,med,vhigh,4,2,med,med,unacc
1257,med,low,4,4,big,low,unacc
398,vhigh,low,4,more,small,high,acc
193,vhigh,high,5more,2,med,med,unacc
1467,low,high,4,4,small,low,unacc
1209,med,low,2,more,med,low,unacc
364,vhigh,low,3,4,med,med,unacc
597,high,high,4,2,med,low,unacc
179,vhigh,high,4,4,big,high,unacc
246,vhigh,med,3,2,med,low,unacc
584,high,high,3,4,big,high,acc
95,vhigh,vhigh,5more,4,med,high,unacc
1287,med,low,5more,more,small,low,unacc
698,high,med,3,more,med,high,acc
255,vhigh,med,3,4,med,low,unacc
1213,med,low,2,more,big,med,good
1090,med,med,2,4,small,med,acc
879,med,vhigh,2,4,big,low,unacc
109,vhigh,high,2,2,small,med,unacc
1682,low,low,4,2,big,high,unacc
961,med,vhigh,5more,4,big,med,acc
239,vhigh,med,2,more,med,high,acc
827,high,low,4,4,big,high,acc
1701,low,low,5more,2,small,low,unacc
1166,med,med,5more,2,med,high,unacc
1628,low,low,2,2,big,high,unacc
1611,low,med,5more,more,small,low,unacc
1191,med,low,2,2,med,low,unacc
494,high,vhigh,4,2,big,high,unacc
1507,low,high,5more,more,med,med,acc
1186,med,med,5more,more,big,med,acc
631,high,high,5more,4,small,med,unacc
985,med,high,2,4,med,med,unacc
417,vhigh,low,5more,4,med,low,unacc
1339,low,vhigh,3,4,big,med,acc
1240,med,low,3,more,big,med,good
1218,med,low,3,2,med,low,unacc
1449,low,high,3,more,small,low,unacc
1644,low,low,2,more,big,low,unacc
1713,low,low,5more,4,med,low,unacc
382,vhigh,low,4,2,med,med,unacc
1385,low,vhigh,5more,2,big,high,unacc
1387,low,vhigh,5more,4,small,med,unacc
327,vhigh,low,2,2,med,low,unacc
796,high,low,3,4,med,med,unacc
669,high,med,2,more,med,low,unacc
960,med,vhigh,5more,4,big,low,unacc
621,high,high,5more,2,small,low,unacc
1037,med,high,4,4,small,high,acc
474,high,vhigh,3,4,big,low,unacc
1372,low,vhigh,4,more,med,med,acc
778,high,low,2,more,med,med,unacc
858,high,low,5more,more,med,low,unacc
7,vhigh,vhigh,2,2,big,med,unacc
993,med,high,2,more,med,low,unacc
1506,low,high,5more,more,med,low,unacc
88,vhigh,vhigh,5more,2,big,med,unacc
414,vhigh,low,5more,4,small,low,unacc
200,vhigh,high,5more,4,small,high,unacc
527,high,vhigh,5more,4,med,high,unacc
1508,low,high,5more,more,med,high,vgood
311,vhigh,med,5more,4,med,high,acc
288,vhigh,med,4,more,small,low,unacc
1000,med,high,3,2,small,med,unacc
660,high,med,2,4,med,low,unacc
1602,low,med,5more,4,small,low,unacc
1138,med,med,4,2,med,med,unacc
505,high,vhigh,4,more,small,med,unacc
112,vhigh,high,2,2,med,med,unacc
1291,med,low,5more,more,med,med,good
1664,low,low,3,4,big,high,vgood
1441,low,high,3,4,small,med,acc
